feature,importance_gain,importance_split
tmobile_app,221.78420066833496,4
ccheques_emitidos,211.45616006851196,8
TC_Total_Finiciomora,210.54298067092896,20
tsin_sueldo_mes_delta_mean_4,206.72186136245728,9
slope_mtarjeta_visa_descuentos_6_window,205.8706111907959,17
ccajas_depositos_delta_mean_8,202.10774183273315,16
Master_status_delta_mean_8,200.63414096832275,15
slope_matm_other_6_window,200.50533771514893,20
ctarjeta_master_transacciones_delta_mean_8,198.99476957321167,14
cforex_delta_mean_8,198.624427318573,18
slope_Master_mconsumospesos_6_window,196.4667191505432,16
slope_mingresos_vs_saldo_ratio_6_window,195.59820103645325,15
slope_mcheques_emitidos_rechazados_6_window,193.90661811828613,15
cmobile_app_trx_delta_3,191.48159790039062,17
cpagomiscuentas,190.8882417678833,17
slope_TC_Total_msaldototal_6_window,188.4986481666565,13
cpagodeservicios_delta_mean_8,187.52426958084106,13
ctransferencias_emitidas_delta_2,187.29944038391113,13
catm_trx_delta_mean_4,186.54874229431152,16
Master_mpagospesos,186.28639793395996,15
Master_mconsumototal,182.27026844024658,16
cproductos_uso_ratio_delta_mean_4,182.1815104484558,18
slope_TC_Total_msaldodolares_6_window,181.5401406288147,16
slope_Master_msaldodolares_6_window,179.80731105804443,17
slope_mcheques_depositados_rechazados_6_window,179.55002093315125,17
cforex_sell_delta_mean_8,177.51352977752686,16
cactividad_total_delta_2,175.1968412399292,20
cplazo_fijo_delta_mean_4,173.52579832077026,8
cmobile_app_trx_delta_mean_4,172.77794933319092,19
ctransferencias_recibidas_delta_mean_4,172.30222940444946,16
thomebanking_delta_mean_4,170.35788798332214,19
cliente_antiguedad_delta_2,169.6980586051941,11
cdiversificacion_financiera_delta_mean_4,166.27809238433838,4
tmora_total,166.0958023071289,3
cforex_delta_mean_4,165.31928873062134,9
ccajas_extracciones_delta_mean_8,162.83030128479004,17
ccajas_depositos_delta_mean_4,162.56980061531067,17
ccaja_ahorro_delta_3,162.37395668029785,3
cpagomiscuentas_delta_3,161.22701740264893,6
Master_cconsumos_delta_2,160.0395245552063,7
slope_mforex_sell_6_window,159.52963066101074,13
ctarjeta_master_transacciones_delta_3,159.49035787582397,10
slope_mflujo_cheques_6_window,158.1023392677307,11
ctransferencias_emitidas_delta_3,153.45662832260132,10
cextraccion_autoservicio_delta_mean_4,152.77683019638062,14
ctarjeta_visa_debitos_automaticos,152.7645399570465,13
ctarjeta_visa_transacciones_delta_2,152.34671878814697,15
ccheques_emitidos_rechazados,151.82019996643066,4
tcuentas_delta_mean_8,149.36199831962585,16
TC_Total_mconsumototal,149.05691051483154,13
slope_mcheques_emitidos_6_window,148.47871780395508,8
ccuenta_debitos_automaticos_delta_3,148.16184902191162,7
Visa_mpagado,148.0907187461853,13
cpagomiscuentas_delta_mean_4,147.63979959487915,10
slope_mtarjeta_master_consumo_6_window,147.6181492805481,10
cempleadores_delta_mean_8,146.86313915252686,9
cuso_tarjeta_ratio_delta_mean_4,145.37625980377197,11
slope_mcheques_depositados_6_window,145.2202606201172,10
ccajas_transacciones,145.0973687171936,5
ctransferencias_recibidas_delta_2,144.78750848770142,15
slope_mtarjeta_visa_consumo_6_window,142.86862134933472,10
cempleadores_delta_mean_4,142.75021648406982,5
ccajas_consultas_delta_3,141.982741355896,10
ctarjeta_visa_debitos_automaticos_delta_2,140.10173845291138,6
TC_Total_status_delta_mean_8,137.75846099853516,8
tusa_app_o_homebanking,136.7420015335083,4
cmobile_app_trx_delta_2,135.6304407119751,14
TC_Total_mconsumospesos,133.54846906661987,12
tmora_total_delta_2,130.83550262451172,4
ccajas_extracciones_delta_3,130.629789352417,7
cdiversificacion_financiera_delta_2,129.9949951171875,1
ccajas_otras,129.94262075424194,6
ctarjeta_master_transacciones_delta_2,127.04894137382507,15
slope_mplazo_fijo_dolares_6_window,123.99911069869995,11
cliente_antiguedad_delta_mean_4,123.67353057861328,8
ccuenta_debitos_automaticos_delta_mean_4,122.86759996414185,12
talta_mora,121.5630989074707,2
cprestamos_prendarios,121.08089065551758,12
ccaja_seguridad_delta_mean_8,119.65892744064331,6
tsin_transacciones_mes_delta_mean_8,119.48646974563599,12
ctarjeta_master_debitos_automaticos_delta_mean_8,115.78444910049438,10
ccaja_seguridad_delta_mean_4,115.17319869995117,4
slope_mttarjeta_master_debitos_automaticos_6_window,114.30469965934753,11
tmora_total_delta_3,112.1780014038086,1
TC_Total_mconsumosdolares,111.91813135147095,7
ctarjeta_debito_transacciones_delta_3,111.46703028678894,14
slope_Visa_msaldototal_6_window,111.36256074905396,9
catm_trx_other_delta_3,107.77080249786377,7
ccheques_emitidos_rechazados_delta_3,106.93599700927734,1
