feature,importance_gain,importance_split
catm_trx,171.15836143493652,9
cproductos_delta_2,170.54960227012634,14
TC_Total_status_delta_mean_8,169.90536403656006,2
slope_muso_credito_ratio_6_window,169.27842164039612,22
cuso_digital_ratio_delta_mean_8,168.37355065345764,29
ctrx_30d_delta_mean_8,168.3065299987793,22
ctarjeta_visa,168.01787173748016,10
slope_Visa_Fvencimiento_6_window,167.62535071372986,25
thomebanking,166.61641693115234,10
ctrx_120d_delta_3,165.97950100898743,28
ctarjeta_debito_transacciones_delta_2,165.45940041542053,24
slope_Visa_Finiciomora_6_window,165.21873104572296,18
slope_Master_mlimitecompra_6_window,161.9542200565338,22
Master_mpagospesos,160.53693103790283,25
ctarjeta_debito_transacciones_delta_3,160.47025990486145,24
ccajas_transacciones,160.30110120773315,9
cpagomiscuentas_delta_mean_8,158.47971987724304,26
Visa_mconsumosdolares,158.16920137405396,19
slope_mforex_buy_6_window,156.84181904792786,28
ctrx_360d_delta_mean_4,154.4685730934143,12
ctrx_120d_delta_mean_4,153.03683876991272,20
ctarjeta_master_transacciones_delta_mean_8,152.72471952438354,20
cextraccion_autoservicio_delta_mean_4,151.50874066352844,22
cproductos_uso_ratio_delta_2,150.2346897125244,21
slope_mrentabilidad_6_window,149.44955945014954,21
ccheques_emitidos,148.76967799663544,13
thomebanking_delta_mean_8,147.90201032161713,29
slope_mflujo_cheques_6_window,146.364271402359,19
slope_mingresos_por_producto_ratio_6_window,146.11641120910645,16
Visa_Fvencimiento_delta_mean_8,145.75550961494446,13
ctarjeta_debito_transacciones_delta_mean_8,145.13799023628235,24
slope_Visa_mpagado_6_window,143.80156111717224,24
chomebanking_transacciones_delta_mean_4,143.51315069198608,24
cactividad_total_delta_3,141.66251969337463,22
slope_mcomisiones_otras_6_window,140.89224910736084,20
Master_fultimo_cierre,140.11127972602844,23
Master_Finiciomora_delta_mean_4,139.86587941646576,22
ctarjeta_debito_delta_mean_8,139.24987089633942,19
ccheques_emitidos_rechazados,137.80563974380493,9
ctransferencias_recibidas,137.6121699810028,5
cseguro_vida,137.57032907009125,24
cproductos_uso_ratio_delta_mean_4,137.2823612689972,19
slope_mextraccion_autoservicio_6_window,137.21122932434082,20
slope_TC_Total_mpagominimo_6_window,136.86069071292877,22
chomebanking_transacciones_delta_2,136.75502026081085,22
ccajas_consultas_delta_mean_8,136.06500887870789,24
ctrx_60d_delta_3,135.2788691520691,22
cproductos_uso_ratio_delta_3,135.25424981117249,20
ctrx_360d_delta_2,134.87509894371033,19
cextraccion_autoservicio_delta_mean_8,134.1867995262146,21
ctarjeta_master_debitos_automaticos_delta_mean_8,133.2189269065857,11
slope_Visa_mpagominimo_6_window,132.94267868995667,17
slope_TC_Total_mconsumototal_6_window,131.68131959438324,14
ctarjeta_master_delta_2,131.2215714454651,4
mcheques_emitidos,131.05999088287354,7
ccajas_consultas_delta_mean_4,130.39734935760498,13
slope_Master_mpagado_6_window,129.69546842575073,17
slope_TC_Total_msaldopesos_6_window,128.69810962677002,13
slope_mingresos_mensuales_6_window,128.12465071678162,20
ctrx_120d_delta_2,127.17907845973969,20
ctrx_180d_delta_3,127.11184906959534,18
slope_mmargen_por_cuenta_ratio_6_window,127.0305986404419,15
cpayroll_trx_delta_mean_4,126.45897972583771,13
mtransferencias_recibidas,126.36072039604187,15
slope_mtarjeta_visa_descuentos_6_window,126.25912952423096,24
ctrx_60d_delta_mean_4,125.42230987548828,24
slope_TC_Total_mconsumosdolares_6_window,124.43683934211731,22
TC_Total_cconsumos_delta_2,124.15222978591919,15
cdiversificacion_financiera,124.11786198616028,12
ccallcenter_transacciones_delta_2,123.19608843326569,15
catm_trx_delta_mean_4,123.17597913742065,20
cproductos_delta_3,122.9082899093628,12
